Time (microseconds),V_ch1
62291.67,-196.718170166016
62500.00,-200.565322875977
62708.33,-203.130096435547
62916.67,-208.259643554688
63125.00,-212.106811523438
63333.33,-214.671585083008
63541.67,-218.518737792969
63750.00,-223.648284912109
63958.33,-225.571868896484
64166.67,-230.701416015625
64375.00,-238.395736694336
64583.33,-236.472152709961
64791.67,-242.242889404297
65000.00,-242.884094238281
65208.33,-246.731246948242
65416.67,-251.860794067383
65625.00,-255.707962036133
65833.33,-256.990356445313
66041.67,-261.478698730469
66250.00,-264.684661865234
66458.33,-267.249450683594
66666.67,-273.020172119141
66875.00,-273.661376953125
67083.33,-276.867340087891
67291.67,-280.714508056641
67500.00,-286.485229492188
67708.33,-287.126434326172
67916.67,-289.691192626953
68125.00,-290.332397460938
68333.33,-292.255981445313
68541.67,-297.385528564453
68750.00,-295.461944580078
68958.33,-299.309112548828
69166.67,-302.515075683594
69375.00,-304.438659667969
69583.33,-310.209381103516
69791.67,-307.644622802734
70000.00,-309.568206787109
70208.33,-310.8505859375
70416.67,-312.774169921875
70625.00,-313.415374755859
70833.33,-315.980133056641
71041.67,-317.262512207031
71250.00,-319.186096191406
71458.33,-321.750885009766
71666.67,-322.392059326172
71875.00,-321.750885009766
72083.33,-327.521606445313
72291.67,-324.956848144531
72500.00,-328.804016113281
72708.33,-327.521606445313
72916.67,-327.521606445313
73125.00,-327.521606445313
73333.33,-333.933563232422
73541.67,-328.804016113281
73750.00,-331.368774414063
73958.33,-331.368774414063
74166.67,-332.009979248047
74375.00,-332.009979248047
74583.33,-332.651153564453
74791.67,-333.292358398438
75000.00,-332.651153564453
75208.33,-332.651153564453
75416.67,-333.292358398438
75625.00,-339.063110351563
75833.33,-333.933563232422
76041.67,-335.215942382813
76250.00,-335.215942382813
76458.33,-335.215942382813
76666.67,-336.498321533203
76875.00,-337.780700683594
77083.33,-339.063110351563
77291.67,-337.780700683594
77500.00,-337.780700683594
77708.33,-336.498321533203
77916.67,-341.627868652344
78125.00,-336.498321533203
78333.33,-338.421905517578
78541.67,-340.986663818359
78750.00,-339.063110351563
78958.33,-341.627868652344
79166.67,-339.704284667969
79375.00,-339.704284667969
79583.33,-340.345489501953
79791.67,-340.345489501953
80000.00,-339.704284667969
80208.33,-339.063110351563
80416.67,-339.704284667969
80625.00,-340.986663818359
80833.33,-341.627868652344
81041.67,-341.627868652344
81250.00,-340.986663818359
81458.33,-340.345489501953
81666.67,-339.704284667969
81875.00,-344.192657470703
82083.33,-340.345489501953
82291.67,-342.910247802734
82500.00,-342.910247802734
82708.33,-343.551452636719
82916.67,-347.398620605469
83125.00,-351.245758056641
83333.33,-339.704284667969
83541.67,-340.345489501953
83750.00,-339.063110351563
83958.33,-338.421905517578
84166.67,-342.269073486328
84375.00,-332.651153564453
84583.33,-332.651153564453
84791.67,-331.368774414063
85000.00,-323.674468994141
85208.33,-326.239227294922
85416.67,-323.674468994141
85625.00,-325.598022460938
85833.33,-317.903717041016
86041.67,-316.621337890625
86250.00,-315.338928222656
86458.33,-312.132965087891
86666.67,-306.362243652344
86875.00,-307.00341796875
87083.33,-303.156280517578
87291.67,-293.538360595703
87500.00,-297.385528564453
87708.33,-291.614776611328
87916.67,-291.614776611328
88125.00,-292.255981445313
88333.33,-286.485229492188
88541.67,-284.561645507813
88750.00,-280.073303222656
88958.33,-280.714508056641
89166.67,-272.378997802734
89375.00,-271.096588134766
89583.33,-264.04345703125
89791.67,-265.325866699219
90000.00,-263.402282714844
90208.33,-259.555114746094
90416.67,-257.631530761719
90625.00,-253.143188476563
90833.33,-249.296020507813
91041.67,-244.807662963867
91250.00,-244.166473388672
91458.33,-239.036926269531
91666.67,-233.907379150391
91875.00,-233.907379150391
92083.33,-227.495452880859
92291.67,-226.21305847168
92500.00,-220.442321777344
92708.33,-217.236358642578
92916.67,-212.748001098633
93125.00,-210.824417114258
93333.33,-205.694869995117
93541.67,-205.053680419922
93750.00,-198.000549316406
93958.33,-195.435775756836
94166.67,-194.153396606445
94375.00,-188.38264465332
94583.33,-184.535491943359
94791.67,-178.123550415039
95000.00,-178.764755249023
95208.33,-172.352813720703
95416.67,-168.505661010742
95625.00,-165.299682617188
95833.33,-160.811340332031
96041.67,-158.246566772461
96250.00,-154.399398803711
96458.33,-152.475814819336
96666.67,-145.422698974609
96875.00,-142.216720581055
97083.33,-135.163604736328
97291.67,-136.445983886719
97500.00,-130.034057617188
97708.33,-126.186889648438
97916.67,-122.339729309082
98125.00,-119.774955749512
98333.33,-113.363021850586
98541.67,-110.15705871582
98750.00,-105.02751159668
98958.33,-105.02751159668
99166.67,-97.3331909179688
99375.00,-90.921257019043
99583.33,-88.997673034668
99791.67,-85.1505126953125
100000.00,-80.0209655761719
100208.33,-76.8150024414063
100416.67,-74.2502288818359
100625.00,-66.555908203125
100833.33,-64.63232421875
101041.67,-59.5027770996094
101250.00,-55.6556167602539
101458.33,-50.5260696411133
101666.67,-44.7553291320801
101875.00,-41.5493621826172
102083.33,-38.3433952331543
102291.67,-33.8550415039063
102500.00,-27.4431076049805
102708.33,-24.8783340454102
102916.67,-20.3899803161621
103125.00,-17.1840133666992
103333.33,-13.3368539810181
103541.67,-8.20730686187744
103750.00,-4.36014652252197
103958.33,-1.15417945384979
104166.67,5.89894771575928
104375.00,7.82252788543701
104583.33,12.3108816146851
104791.67,16.7992362976074
105000.00,20.6463966369629
105208.33,25.1347503662109
105416.67,26.4171371459961
105625.00,32.8290710449219
105833.33,39.2410049438477
106041.67,41.805778503418
106250.00,44.3705520629883
106458.33,49.5000991821289
106666.67,52.7060661315918
106875.00,57.1944198608398
107083.33,60.4003868103027
107291.67,64.2475433349609
107500.00,63.6063537597656
107708.33,73.224250793457
107916.67,76.4302215576172
108125.00,80.918571472168
108333.33,85.4069290161133
108541.67,88.6128921508789
108750.00,95.0248260498047
108958.33,96.3072128295898
109166.67,101.43675994873
109375.00,102.719146728516
109583.33,109.131080627441
109791.67,112.337051391602
110000.00,116.825401306152
110208.33,120.672561645508
110416.67,125.160919189453
110625.00,131.572845458984
110833.33,132.214050292969
111041.67,135.420013427734
111250.00,139.90837097168
111458.33,143.114334106445
111666.67,145.679107666016
111875.00,152.732238769531
112083.33,152.732238769531
112291.67,162.350128173828
112500.00,166.197296142578
112708.33,168.762069702148
112916.67,172.609222412109
113125.00,176.456390380859
113333.33,175.815200805664
113541.67,184.15071105957
113750.00,187.997863769531
113958.33,189.280258178711
114166.67,194.409805297852
114375.00,198.898162841797
114583.33,203.386505126953
114791.67,207.233673095703
115000.00,209.157257080078
115208.33,210.439636230469
115416.67,216.851577758789
115625.00,218.775146484375
115833.33,222.622314453125
116041.67,229.034240722656
116250.00,229.034240722656
116458.33,235.446182250977
116666.67,237.369766235352
116875.00,241.858108520508
117083.33,245.705276489258
117291.67,248.270050048828
117500.00,250.834823608398
117708.33,257.246765136719
117916.67,255.964370727539
118125.00,265.582275390625
118333.33,268.147033691406
118541.67,270.070617675781
118750.00,274.558990478516
118958.33,276.482543945313
119166.67,280.329711914063
119375.00,280.970916748047
119583.33,286.100463867188
119791.67,285.459259033203
120000.00,290.588806152344
