Time (microseconds),scope4
472583.33,302.946136474609
472666.67,304.234832763672
472750.00,303.590484619141
472833.33,302.946136474609
472916.67,301.657409667969
473000.00,301.657409667969
473083.33,301.013031005859
473166.67,299.724334716797
473250.00,300.368682861328
473333.33,298.435607910156
473416.67,295.213806152344
473500.00,299.724334716797
473583.33,298.435607910156
473666.67,295.858154296875
473750.00,294.569427490234
473833.33,293.925079345703
473916.67,294.569427490234
474000.00,295.858154296875
474083.33,293.925079345703
474166.67,292.636352539063
474250.00,291.347625732422
474333.33,290.058898925781
474416.67,290.058898925781
474500.00,288.770202636719
474583.33,288.770202636719
474666.67,290.703277587891
474750.00,286.192749023438
474833.33,287.481475830078
474916.67,287.481475830078
475000.00,285.548400878906
475083.33,284.904022216797
475166.67,284.904022216797
475250.00,282.970947265625
475333.33,284.259674072266
475416.67,283.615295410156
475500.00,281.037872314453
475583.33,281.037872314453
475666.67,281.037872314453
475750.00,279.104797363281
475833.33,281.682220458984
475916.67,278.460418701172
476000.00,277.171691894531
476083.33,277.171691894531
476166.67,273.305541992188
476250.00,275.238616943359
476333.33,275.882995605469
476416.67,272.016815185547
476500.00,274.594268798828
476583.33,272.016815185547
476666.67,272.016815185547
476750.00,270.728088378906
476833.33,271.372467041016
476916.67,269.439361572266
477000.00,266.861938476563
477083.33,267.506286621094
477166.67,270.083740234375
477250.00,268.150665283203
477333.33,266.217559814453
477416.67,264.928863525391
477500.00,264.284484863281
477583.33,263.64013671875
477666.67,263.64013671875
477750.00,262.995758056641
477833.33,261.707061767578
477916.67,259.773956298828
478000.00,259.129608154297
478083.33,261.062683105469
478166.67,257.840881347656
478250.00,253.974716186523
478333.33,255.907806396484
478416.67,256.552154541016
478500.00,253.974716186523
478583.33,253.330368041992
478666.67,253.974716186523
478750.00,252.686004638672
478833.33,251.397277832031
478916.67,247.531112670898
479000.00,250.752914428711
479083.33,250.10856628418
479166.67,247.531112670898
479250.00,246.886764526367
479333.33,247.531112670898
479416.67,246.886764526367
479500.00,250.10856628418
479583.33,244.953674316406
479666.67,244.953674316406
479750.00,243.664947509766
479833.33,242.376235961914
479916.67,240.443145751953
480000.00,240.443145751953
480083.33,236.576995849609
480166.67,237.221343994141
480250.00,237.865707397461
480333.33,235.288269042969
480416.67,235.288269042969
480500.00,234.643905639648
480583.33,233.355178833008
480666.67,233.355178833008
480750.00,230.777740478516
480833.33,232.710830688477
480916.67,231.422103881836
481000.00,228.844665527344
481083.33,227.555938720703
481166.67,226.911575317383
481250.00,226.911575317383
481333.33,224.334136962891
481416.67,223.68977355957
481500.00,224.334136962891
481583.33,224.334136962891
481666.67,221.112335205078
481750.00,221.112335205078
481833.33,219.823608398438
481916.67,216.601806640625
482000.00,217.890533447266
482083.33,217.246170043945
482166.67,219.179260253906
482250.00,214.668731689453
482333.33,214.668731689453
482416.67,213.380004882813
482500.00,212.735641479492
482583.33,210.158203125
482666.67,210.80256652832
482750.00,212.091293334961
482833.33,210.158203125
482916.67,210.158203125
483000.00,206.936401367188
483083.33,205.647689819336
483166.67,203.714599609375
483250.00,203.070236206055
483333.33,204.358963012695
483416.67,203.714599609375
483500.00,201.781524658203
483583.33,201.781524658203
483666.67,200.492797851563
483750.00,196.62663269043
483833.33,197.27099609375
483916.67,196.62663269043
484000.00,197.27099609375
484083.33,194.049194335938
484166.67,194.049194335938
484250.00,194.049194335938
484333.33,192.116104125977
484416.67,191.471755981445
484500.00,190.827392578125
484583.33,188.894302368164
484666.67,187.605590820313
484750.00,192.116104125977
484833.33,186.316864013672
484916.67,185.02815246582
485000.00,183.095062255859
485083.33,181.806335449219
485166.67,182.450698852539
485250.00,183.095062255859
485333.33,181.806335449219
485416.67,181.161987304688
485500.00,179.228897094727
485583.33,175.362731933594
485666.67,177.295822143555
485750.00,175.362731933594
485833.33,176.007095336914
485916.67,175.362731933594
486000.00,172.785293579102
486083.33,172.785293579102
486166.67,172.140930175781
486250.00,170.85221862793
486333.33,167.630416870117
486416.67,170.207855224609
486500.00,168.919128417969
486583.33,168.919128417969
486666.67,165.697326660156
486750.00,164.408615112305
486833.33,163.764251708984
486916.67,161.831161499023
487000.00,161.186798095703
487083.33,162.475524902344
487166.67,160.542449951172
487250.00,160.542449951172
487333.33,159.253723144531
487416.67,155.387557983398
487500.00,157.964996337891
487583.33,153.454483032227
487666.67,152.810119628906
487750.00,151.521392822266
487833.33,149.588317871094
487916.67,150.232681274414
488000.00,150.877029418945
488083.33,149.588317871094
488166.67,147.010879516602
488250.00,145.077789306641
488333.33,146.366516113281
488416.67,147.010879516602
488500.00,144.43342590332
488583.33,143.144714355469
488666.67,139.922912597656
488750.00,140.567260742188
488833.33,139.278549194336
488916.67,139.922912597656
489000.00,136.701110839844
489083.33,135.412384033203
489166.67,136.701110839844
489250.00,134.768020629883
489333.33,135.412384033203
489416.67,130.90185546875
489500.00,131.54621887207
489583.33,130.25749206543
489666.67,130.25749206543
489750.00,129.613143920898
489833.33,127.035697937012
489916.67,127.680053710938
490000.00,125.102615356445
490083.33,123.813896179199
490166.67,125.102615356445
490250.00,124.458251953125
490333.33,121.880813598633
490416.67,121.236450195313
490500.00,118.65901184082
490583.33,118.65901184082
490666.67,116.081565856934
490750.00,118.65901184082
490833.33,113.504127502441
490916.67,113.504127502441
491000.00,114.148483276367
491083.33,110.926681518555
491166.67,113.504127502441
491250.00,108.993598937988
491333.33,108.993598937988
491416.67,108.349243164063
