Time (seconds),V_ch1,V_ch2,V_ch3,I_ch1,I_ch2,I_ch3
0.383958,-318.217437744141,0,0,0,0,0
0.384167,-319.506164550781,0,0,0,0,0
0.384375,-327.882843017578,0,0,0,0,0
0.384583,-322.083587646484,0,0,0,0,0
0.384792,-322.083587646484,0,0,0,0,0
0.385000,-323.372314453125,0,0,0,0,0
0.385208,-324.661041259766,0,0,0,0,0
0.385417,-327.238494873047,0,0,0,0,0
0.385625,-327.882843017578,0,0,0,0,0
0.385833,-328.527221679688,0,0,0,0,0
0.386042,-329.81591796875,0,0,0,0,0
0.386250,-329.81591796875,0,0,0,0,0
0.386458,-329.81591796875,0,0,0,0,0
0.386667,-332.393371582031,0,0,0,0,0
0.386875,-332.393371582031,0,0,0,0,0
0.387083,-338.192626953125,0,0,0,0,0
0.387292,-333.037719726563,0,0,0,0,0
0.387500,-337.548248291016,0,0,0,0,0
0.387708,-334.326446533203,0,0,0,0,0
0.387917,-338.192626953125,0,0,0,0,0
0.388125,-334.326446533203,0,0,0,0,0
0.388333,-338.192626953125,0,0,0,0,0
0.388542,-335.615173339844,0,0,0,0,0
0.388750,-334.970825195313,0,0,0,0,0
0.388958,-336.903900146484,0,0,0,0,0
0.389167,-335.615173339844,0,0,0,0,0
0.389375,-338.836975097656,0,0,0,0,0
0.389583,-337.548248291016,0,0,0,0,0
0.389792,-338.836975097656,0,0,0,0,0
0.390000,-339.481323242188,0,0,0,0,0
0.390208,-340.125701904297,0,0,0,0,0
0.390417,-338.192626953125,0,0,0,0,0
0.390625,-340.125701904297,0,0,0,0,0
0.390833,-340.125701904297,0,0,0,0,0
0.391042,-340.125701904297,0,0,0,0,0
0.391250,-342.058776855469,0,0,0,0,0
0.391458,-342.058776855469,0,0,0,0,0
0.391667,-343.347503662109,0,0,0,0,0
0.391875,-344.63623046875,0,0,0,0,0
0.392083,-343.347503662109,0,0,0,0,0
0.392292,-340.125701904297,0,0,0,0,0
0.392500,-342.058776855469,0,0,0,0,0
0.392708,-339.481323242188,0,0,0,0,0
0.392917,-342.703125,0,0,0,0,0
0.393125,-341.414428710938,0,0,0,0,0
0.393333,-344.63623046875,0,0,0,0,0
0.393542,-342.703125,0,0,0,0,0
0.393750,-342.703125,0,0,0,0,0
0.393958,-345.280578613281,0,0,0,0,0
0.394167,-342.703125,0,0,0,0,0
0.394375,-342.703125,0,0,0,0,0
0.394583,-342.703125,0,0,0,0,0
0.394792,-345.924926757813,0,0,0,0,0
0.395000,-343.991851806641,0,0,0,0,0
0.395208,-345.280578613281,0,0,0,0,0
0.395417,-344.63623046875,0,0,0,0,0
0.395625,-344.63623046875,0,0,0,0,0
0.395833,-342.058776855469,0,0,0,0,0
0.396042,-342.058776855469,0,0,0,0,0
0.396250,-340.125701904297,0,0,0,0,0
0.396458,-343.991851806641,0,0,0,0,0
0.396667,-334.970825195313,0,0,0,0,0
0.396875,-333.682098388672,0,0,0,0,0
0.397083,-331.7490234375,0,0,0,0,0
0.397292,-328.527221679688,0,0,0,0,0
0.397500,-328.527221679688,0,0,0,0,0
0.397708,-325.305389404297,0,0,0,0,0
0.397917,-324.016693115234,0,0,0,0,0
0.398125,-320.150512695313,0,0,0,0,0
0.398333,-315.639984130859,0,0,0,0,0
0.398542,-314.995635986328,0,0,0,0,0
0.398750,-313.062561035156,0,0,0,0,0
0.398958,-307.907684326172,0,0,0,0,0
0.399167,-305.974578857422,0,0,0,0,0
0.399375,-302.108428955078,0,0,0,0,0
0.399583,-302.752777099609,0,0,0,0,0
0.399792,-298.886627197266,0,0,0,0,0
0.400000,-295.020446777344,0,0,0,0,0
0.400208,-292.443023681641,0,0,0,0,0
0.400417,-290.509948730469,0,0,0,0,0
0.400625,-285.999420166016,0,0,0,0,0
0.400833,-285.999420166016,0,0,0,0,0
0.401042,-280.200164794922,0,0,0,0,0
0.401250,-275.689636230469,0,0,0,0,0
0.401458,-275.689636230469,0,0,0,0,0
0.401667,-271.823486328125,0,0,0,0,0
0.401875,-276.334014892578,0,0,0,0,0
0.402083,-264.735504150391,0,0,0,0,0
0.402292,-265.3798828125,0,0,0,0,0
0.402500,-258.936279296875,0,0,0,0,0
0.402708,-256.358825683594,0,0,0,0,0
0.402917,-254.425750732422,0,0,0,0,0
0.403125,-251.203948974609,0,0,0,0,0
0.403333,-245.404693603516,0,0,0,0,0
0.403542,-244.115982055664,0,0,0,0,0
0.403750,-241.538528442383,0,0,0,0,0
0.403958,-233.161849975586,0,0,0,0,0
0.404167,-231.873123168945,0,0,0,0,0
0.404375,-228.006958007813,0,0,0,0,0
0.404583,-226.718246459961,0,0,0,0,0
0.404792,-221.563354492188,0,0,0,0,0
0.405000,-215.764114379883,0,0,0,0,0
0.405208,-216.408477783203,0,0,0,0,0
0.405417,-212.54231262207,0,0,0,0,0
0.405625,-208.031784057617,0,0,0,0,0
0.405833,-204.809982299805,0,0,0,0,0
0.406042,-202.232543945313,0,0,0,0,0
0.406250,-198.36637878418,0,0,0,0,0
0.406458,-194.500213623047,0,0,0,0,0
0.406667,-190.634048461914,0,0,0,0,0
0.406875,-195.144577026367,0,0,0,0,0
