Time (microseconds),V_ch1,I_ch2_f
10416.67,180.4912109375,7.25902795791626
10625.00,188.776473999023,7.43176603317261
10833.33,191.325790405273,7.61442613601685
11041.67,193.237777709961,7.76604986190796
11250.00,195.149749755859,7.88036680221558
11458.33,198.973724365234,7.99178838729858
11666.67,202.79768371582,8.130690574646
11875.00,206.621658325195,8.29212379455566
12083.33,211.720275878906,8.43992137908936
12291.67,212.357604980469,8.5901927947998
12500.00,218.730880737305,8.74633979797363
12708.33,222.55485534668,8.88422393798828
12916.67,232.752105712891,8.99589157104492
13125.00,230.202789306641,9.10630035400391
13333.33,233.389434814453,9.25288200378418
13541.67,234.026748657227,9.42715930938721
13750.00,239.125381469727,9.59975433349609
13958.33,239.125381469727,9.72627735137939
14166.67,244.861328125,9.81020927429199
14375.00,248.047973632813,9.89928722381592
14583.33,250.597274780273,10.0031747817993
14791.67,254.421249389648,10.1207504272461
15000.00,255.695907592773,10.2294406890869
15208.33,255.695907592773,10.3155574798584
15416.67,260.794525146484,10.383677482605
15625.00,262.069183349609,10.4452133178711
15833.33,263.981170654297,10.4920473098755
16041.67,267.805145263672,10.5453929901123
16250.00,268.442474365234,10.5990161895752
16458.33,272.266418457031,10.6658191680908
16666.67,274.815734863281,10.7562942504883
16875.00,273.541076660156,10.8327522277832
17083.33,274.815734863281,10.9048681259155
17291.67,279.277038574219,10.9887657165527
17500.00,278.002380371094,11.0792474746704
17708.33,282.463684082031,11.1628913879395
17916.67,285.012969970703,11.2344703674316
18125.00,288.199615478516,11.2819709777832
18333.33,287.562286376953,11.3273181915283
18541.67,287.562286376953,11.396523475647
18750.00,290.111602783203,11.4597806930542
18958.33,291.386260986328,11.5340538024902
19166.67,291.386260986328,11.6034317016602
19375.00,296.484893798828,11.6474618911743
19583.33,297.122222900391,11.6881647109985
19791.67,295.847564697266,11.7265090942383
20000.00,298.396881103516,11.7705726623535
20208.33,299.671508789063,11.8364362716675
20416.67,305.407470703125,11.8879890441895
20625.00,301.58349609375,11.9212856292725
20833.33,302.220825195313,11.9671440124512
21041.67,301.58349609375,12.006664276123
21250.00,301.58349609375,12.0130405426025
21458.33,302.858154296875,12.0131912231445
21666.67,305.407470703125,12.0477952957153
21875.00,307.956787109375,12.097017288208
22083.33,307.319458007813,12.1396474838257
22291.67,307.319458007813,12.1546430587769
22500.00,309.2314453125,12.1369123458862
22708.33,314.967407226563,12.1248302459717
22916.67,311.78076171875,12.1538705825806
23125.00,311.78076171875,12.1922035217285
23333.33,310.506103515625,12.1888675689697
23541.67,310.506103515625,12.1484460830688
23750.00,307.956787109375,12.1182594299316
23958.33,313.055419921875,12.1377429962158
24166.67,312.418090820313,12.1873474121094
24375.00,312.418090820313,12.2317676544189
24583.33,313.692749023438,12.264214515686
24791.67,311.78076171875,12.2712316513062
25000.00,313.692749023438,12.2863349914551
25208.33,313.055419921875,12.3232736587524
25416.67,316.879364013672,12.3574209213257
25625.00,311.78076171875,12.3889875411987
25833.33,319.428680419922,12.4181690216064
26041.67,314.330078125,12.4451446533203
26250.00,316.242034912109,12.4413614273071
26458.33,313.692749023438,12.4134521484375
26666.67,314.967407226563,12.3962669372559
26875.00,316.879364013672,12.4047937393188
27083.33,316.879364013672,12.4083671569824
27291.67,318.154022216797,12.4174156188965
27500.00,317.516693115234,12.4387044906616
27708.33,318.154022216797,12.4411516189575
27916.67,318.154022216797,12.4355154037476
28125.00,319.428680419922,12.433177947998
28333.33,316.879364013672,12.4389152526855
28541.67,318.154022216797,12.4442186355591
28750.00,319.428680419922,12.4663534164429
28958.33,317.516693115234,12.4695835113525
29166.67,316.879364013672,12.4582090377808
29375.00,317.516693115234,12.4505662918091
29583.33,316.879364013672,12.4463729858398
29791.67,319.428680419922,12.4654741287231
30000.00,316.242034912109,12.4773864746094
30208.33,319.428680419922,12.4639863967896
30416.67,319.428680419922,12.442982673645
30625.00,317.516693115234,12.4336185455322
30833.33,315.604705810547,12.4163455963135
31041.67,316.242034912109,12.3817100524902
31250.00,314.967407226563,12.3324594497681
31458.33,314.330078125,12.2625179290771
31666.67,314.330078125,12.1978626251221
31875.00,311.78076171875,12.1438369750977
32083.33,312.418090820313,12.0967664718628
32291.67,314.330078125,12.0589971542358
32500.00,309.2314453125,12.0011053085327
32708.33,302.220825195313,11.9303569793701
